City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,kangding,30.0513,101.9603,15.42,99,99,1.2,CN,1690387014
338,afaahiti,-17.75,-149.2833,22.93,89,72,5.05,PF,1690387015
339,murzuq,25.9155,13.9184,41.47,5,0,7.44,LY,1690387015
340,vila velha,-20.3297,-40.2925,25.97,75,40,5.66,BR,1690386885
341,bentiu,9.2333,29.8333,22.42,96,100,3.39,SS,1690387016
342,hammerfest,70.6634,23.6821,14.25,72,20,6.17,NO,1690387016
343,auna,10.1881,4.7232,31.35,58,82,2.39,NG,1690387016
344,rio tercero,-32.173,-64.1141,17.47,33,0,4.53,AR,1690387016
345,jiayuguan,39.8167,98.3,27.56,25,94,4.16,CN,1690387017
346,indramayu,-6.3264,108.32,25.02,73,11,5.08,ID,1690387017
347,usogorsk,63.4106,48.6872,18.84,67,91,1.25,RU,1690387017
348,ujae,8.9322,165.7642,28.01,81,99,5.18,MH,1690387017
349,berrahal,36.8353,7.4533,28.85,47,0,3.83,DZ,1690387017
350,selfoss,63.9331,-20.9971,17.25,65,93,4.42,IS,1690387017
351,keflavik,64.0049,-22.5624,15.95,76,100,2.06,IS,1690387017
352,nyurba,63.2842,118.3319,16.83,61,96,2.27,RU,1690387023
353,trail,49.0998,-117.7022,22.21,41,0,0.57,CA,1690387023
354,rocha,-34.4833,-54.3333,12.6,92,100,8.49,UY,1690386987
355,umm kaddadah,13.6017,26.6876,33.83,36,100,10.17,SD,1690387023
356,old town,50.087,14.4202,21.83,51,0,6.17,CZ,1690387024
357,nadym,65.5333,72.5167,21.7,68,37,3.67,RU,1690387024
358,nemuro,43.3236,145.575,16.66,98,77,0.29,JP,1690387024
359,newman,37.3138,-121.0208,27.91,27,3,0.75,US,1690387024
360,zhangatas,43.5667,69.75,33.03,15,0,4.86,KZ,1690387024
361,lihue,21.9789,-159.3672,25.77,85,100,7.72,US,1690387024
362,broome,42.2506,-75.833,28.82,66,0,2.57,US,1690386976
